MISSION ELAPSED TIME (min),dist
865.282716,148334.8082
866.282716,148392.2609
867.282716,148449.7813
868.282716,148507.3702
869.282716,148565.0286
870.282716,148622.7573
871.282716,148680.5572
872.282716,148738.4292
873.282716,148796.3741
874.282716,148854.3929
875.282716,148912.4864
876.282716,148970.6556
877.282716,149028.9012
878.282716,149087.2242
879.282716,149145.6254
880.282716,149204.1057
881.282716,149262.6659
882.282716,149321.307
883.282716,149380.0298
884.282716,149438.8352
885.282716,149497.7239
886.282716,149556.697
887.282716,149615.7551
888.282716,149674.8993
889.282716,149734.1303
890.282716,149793.449
891.282716,149852.8563
892.282716,149912.353
893.282716,149971.9399
894.282716,150031.6178
895.282716,150091.3878
896.282716,150151.2505
897.282716,150211.2068
898.282716,150271.2576
899.282716,150331.4036
900.282716,150391.6458
901.282716,150451.985
902.282716,150512.4219
903.282716,150572.9574
904.282716,150633.5924
905.282716,150694.3277
906.282716,150755.1641
907.282716,150816.1023
908.282716,150877.1433
909.282716,150938.2879
910.282716,150999.5369
911.282716,151060.891
912.282716,151122.3512
913.282716,151183.9181
914.282716,151245.5927
915.282716,151307.3757
916.282716,151369.268
917.282716,151431.2703
918.282716,151493.3835
919.282716,151555.6083
920.282716,151617.9456
921.282716,151680.3961
922.282716,151742.9607
923.282716,151805.6401
924.282716,151868.4351
925.282716,151931.3466
926.282716,151994.3753
927.282716,152057.522
928.282716,152120.7875
929.282716,152184.1726
930.282716,152247.6781
931.282716,152311.3047
932.282716,152375.0533
933.282716,152438.9245
934.282716,152502.9193
935.282716,152567.0383
936.282716,152631.2824
937.282716,152695.6522
938.282716,152760.1487
939.282716,152824.7725
940.282716,152889.5245
941.282716,152954.4053
942.282716,153019.4158
943.282716,153084.5568
944.282716,153149.8289
945.282716,153215.233
946.282716,153280.7698
947.282716,153346.4401
948.282716,153412.2446
949.282716,153478.1841
950.282716,153544.2594
951.282716,153610.4711
952.282716,153676.8202
953.282716,153743.3072
954.282716,153809.933
955.282716,153876.6983
956.282716,153943.6038
957.282716,154010.6504
958.282716,154077.8387
959.282716,154145.1696
960.282716,154212.6437
961.282716,154280.2617
962.282716,154348.0245
963.282716,154415.9328
964.282716,154483.9873
965.282716,154552.1887
966.282716,154620.5378
967.282716,154689.0354
968.282716,154757.6821
969.282716,154826.4787
970.282716,154895.426
971.282716,154964.5246
972.282716,155033.7753
973.282716,155103.1788
974.282716,155172.736
975.282716,155242.4474
976.282716,155312.3138
977.282716,155382.336
978.282716,155452.5147
979.282716,155522.8506
980.282716,155593.3444
981.282716,155663.9969
982.282716,155734.8087
983.282716,155805.7807
984.282716,155876.9136
985.282716,155948.2079
986.282716,156019.6646
987.282716,156091.2843
988.282716,156163.0677
989.282716,156235.0156
990.282716,156307.1286
991.282716,156379.4076
992.282716,156451.8531
993.282716,156524.466
994.282716,156597.2469
995.282716,156670.1966
996.282716,156743.3158
997.282716,156816.6053
998.282716,156890.0656
999.282716,156963.6976
1000.282716,157037.502
1001.282716,157111.4795
1002.282716,157185.6307
1003.282716,157259.9565
1004.282716,157334.4575
1005.282716,157409.1345
1006.282716,157483.9882
1007.282716,157559.0192
1008.282716,157634.2283
1009.282716,157709.6163
1010.282716,157785.1839
1011.282716,157860.9316
1012.282716,157936.8604
1013.282716,158012.9709
1014.282716,158089.2637
1015.282716,158165.7397
1016.282716,158242.3996
1017.282716,158319.244
1018.282716,158396.2737
1019.282716,158473.4895
1020.282716,158550.8919
1021.282716,158628.4818
1022.282716,158706.2599
1023.282716,158784.2268
1024.282716,158862.3834
1025.282716,158940.7303
1026.282716,159019.2682
1027.282716,159097.9979
1028.282716,159176.9201
1029.282716,159256.0355
1030.282716,159335.3449
1031.282716,159414.8489
1032.282716,159494.5483
1033.282716,159574.4439
1034.282716,159654.5363
1035.282716,159734.8262
1036.282716,159815.3145
1037.282716,159896.0018
1038.282716,159976.8888
1039.282716,160057.9764
1040.282716,160139.2651
1041.282716,160220.7559
1042.282716,160302.4493
1043.282716,160384.3461
1044.282716,160466.4471
1045.282716,160548.7529
1046.282716,160631.2644
1047.282716,160713.9823
1048.282716,160796.9073
1049.282716,160880.0401
1050.282716,160963.3815
1051.282716,161046.9323
1052.282716,161130.6931
1053.282716,161214.6648
1054.282716,161298.848
1055.282716,161383.2436
1056.282716,161467.8522
1057.282716,161552.6746
1058.282716,161637.7116
1059.282716,161722.964
1060.282716,161808.4324
1061.282716,161894.1177
1062.282716,161980.0205
1063.282716,162066.1417
1064.282716,162152.4821
1065.282716,162239.0423
1066.282716,162325.8232
1067.282716,162412.8255
1068.282716,162500.0499
1069.282716,162587.4974
1070.282716,162675.1685
1071.282716,162763.0642
1072.282716,162851.1852
1073.282716,162939.5322
1074.282716,163028.106
1075.282716,163116.9075
1076.282716,163205.9374
1077.282716,163295.1964
1078.282716,163384.6855
1079.282716,163474.4053
1080.282716,163564.3567
1081.282716,163654.5405
1082.282716,163744.9574
1083.282716,163835.6082
1084.282716,163926.4939
1085.282716,164017.6151
1086.282716,164108.9726
1087.282716,164200.5674
1088.282716,164292.4002
1089.282716,164384.4717
1090.282716,164476.7829
1091.282716,164569.3346
1092.282716,164662.1275
1093.282716,164755.1625
1094.282716,164848.4404
1095.282716,164941.9621
1096.282716,165035.7284
1097.282716,165129.7402
1098.282716,165223.9981
1099.282716,165318.5032
1100.282716,165413.2563
1101.282716,165508.2582
1102.282716,165603.5097
1103.282716,165699.0117
1104.282716,165794.7651
1105.282716,165890.7708
1106.282716,165987.0295
1107.282716,166083.5423
1108.282716,166180.3098
1109.282716,166277.3331
1110.282716,166374.613
1111.282716,166472.1503
1112.282716,166569.946
1113.282716,166668.001
1114.282716,166766.3161
1115.282716,166864.8923
1116.282716,166963.7304
1117.282716,167062.8313
1118.282716,167162.196
1119.282716,167261.8254
1120.282716,167361.7204
1121.282716,167461.8819
1122.282716,167562.3108
1123.282716,167663.008
1124.282716,167763.9746
1125.282716,167865.2114
1126.282716,167966.7194
1127.282716,168068.4995
1128.282716,168170.5527
1129.282716,168272.8799
1130.282716,168375.482
1131.282716,168478.3602
1132.282716,168581.5152
1133.282716,168684.9482
1134.282716,168788.66
1135.282716,168892.6516
1136.282716,168996.9241
1137.282716,169101.4785
